time,rate_roll,rate_pitch,rate_yaw,current,voltage,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw
1738176590.3932617,-0.07049560546875,0.018157958984375,0.003204345703125,19.220733642578125,11.02996826171875,,,,,,,,,
1738176590.398599,,,,,,1.4456231751283917,-0.308389853385677,0.6876108556632472,0.0427351356265513,0.10333311016384313,0.0013929948147497293,0.0039302174639867975,-0.02676728375595909,3.1117259359023235
1738176590.4020305,-0.182647705078125,-0.016021728515625,0.101470947265625,19.4549560546875,11.0498046875,,,,,,,,,
1738176590.4090145,,,,,,1.4460422035075533,-0.3073793607305966,0.6876128218789126,0.044847829612561854,0.10364953043318807,-0.016887364803223344,0.002519816020445372,-0.028005742646826332,3.1116370140987684
1738176590.4114857,-0.293731689453125,0.099334716796875,0.054473876953125,20.15838623046875,11.0198974609375,,,,,,,,,
1738176590.4179425,,,,,,1.4461973588998878,-0.30319619029927947,0.6876327033750534,0.038015233505719594,0.09624033766472348,-0.0003221473384827699,-0.0013635274290344553,-0.025543694216572484,3.112506878714906
1738176590.4217994,-0.154876708984375,0.02349853515625,0.0555419921875,19.63043212890625,11.0198974609375,,,,,,,,,
1738176590.4282897,,,,,,1.4465804122159502,-0.30224819215168686,0.6877683179563291,0.040208656013671795,0.09695409765044914,0.002824805471115393,-0.0022932448499746396,-0.025630986258238377,3.113071257532719
1738176590.4311578,-0.154876708984375,-0.082244873046875,-0.018157958984375,18.810272216796875,11.02996826171875,,,,,,,,,
1738176590.4386423,,,,,,1.4469702704468146,-0.3012884497611414,0.6878748816596744,0.04218726799094727,0.09672743701792437,-0.01681714622462955,-0.0032686625204608184,-0.025652638717201734,3.113625274277297
1738176590.4415712,-0.367431640625,0.0,-0.077972412109375,19.42596435546875,11.02996826171875,,,,,,,,,
1738176590.4482334,,,,,,1.4473728194926365,-0.3002985772730253,0.6879845907290167,0.044240639678270556,0.09641526170817585,-0.03663312737532662,-0.0042751448700878375,-0.025674414161479264,3.114196949918053
1738176590.4512975,0.009613037109375,-0.092926025390625,-0.077972412109375,18.5760498046875,10.999755859375,,,,,,,,,
1738176590.460841,,,,,,1.4477590924166792,-0.2993486029182871,0.68809476861673,0.0462244434198691,0.09603727618274181,-0.055157899353716955,-0.005241419445397468,-0.025694778254186795,3.1147458015889167
1738176590.461899,0.274505615234375,-0.139923095703125,0.022430419921875,19.103240966796875,11.0198974609375,,,,,,,,,
1738176590.4692233,,,,,,1.4470366060799407,-0.29707266603965127,0.6883431831756881,0.032482476341793784,0.12100747858507321,0.00424294792762432,-0.005311617349275703,-0.026955168062183087,3.112224041740089
1738176590.4715085,-0.025634765625,-0.110015869140625,0.048065185546875,19.1619873046875,11.0198974609375,,,,,,,,,
1738176590.4791203,,,,,,1.4473506150897057,-0.29592653883189823,0.6883294108411541,0.034422066376612825,0.12055853094188893,-0.013415761825549277,-0.006729053199779111,-0.027044342773881198,3.1122533552591194
1738176590.482511,-0.065155029296875,0.063018798828125,-0.0384521484375,19.689178466796875,11.02996826171875,,,,,,,,,
1738176590.4880295,,,,,,1.447664292543925,-0.29477259520003046,0.6883311777941705,0.03641971435003918,0.12008644807333074,-0.03249852367399405,-0.008155463421114,-0.027134039683133705,3.1122829819382147
1738176590.4920897,0.022430419921875,0.131378173828125,0.00213623046875,18.5760498046875,11.00982666015625,,,,,,,,,
