trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0,0.94,0.197013,0.812418,1.61134,0.503425,1.86167,-0.959008,0.582354,1.19042,-0.948597
0,0.95,0.202077,0.831093,1.6017,0.509213,1.87328,-0.968398,0.575234,1.13243,-0.92927
0,0.96,0.207197,0.849882,1.59197,0.514929,1.88431,-0.977592,0.567936,1.07374,-0.909568
0,0.97,0.212375,0.868777,1.58215,0.520571,1.89475,-0.986588,0.560464,1.01437,-0.889498
0,0.98,0.217608,0.887775,1.57224,0.526137,1.9046,-0.995381,0.552822,0.954357,-0.869069
0,0.99,0.222897,0.906867,1.56224,0.531627,1.91384,-1.00397,0.545011,0.893714,-0.848287
0,1,0.228241,0.926049,1.55216,0.537037,1.92247,-1.01235,0.537037,0.832469,-0.82716
0,1.01,0.233638,0.945315,1.542,0.542367,1.93049,-1.02051,0.528901,0.770648,-0.805697
0,1.02,0.239088,0.964657,1.53175,0.547615,1.93788,-1.02846,0.520608,0.708274,-0.783904
0,1.03,0.24459,0.98407,1.52143,0.552779,1.94465,-1.03619,0.51216,0.645373,-0.761789
0,1.04,0.250143,1.00355,1.51103,0.557857,1.95079,-1.04369,0.50356,0.58197,-0.73936
0,1.05,0.255747,1.02308,1.50055,0.562849,1.95629,-1.05097,0.494812,0.518087,-0.716625
0,1.06,0.2614,1.04267,1.49001,0.567753,1.96115,-1.05802,0.48592,0.453752,-0.693591
0,1.07,0.267101,1.0623,1.47939,0.572567,1.96536,-1.06484,0.476885,0.388987,-0.670265
0,1.08,0.272851,1.08198,1.46871,0.57729,1.96892,-1.07143,0.467712,0.323818,-0.646656
0,1.09,0.278647,1.10168,1.45797,0.581921,1.97184,-1.07778,0.458404,0.258269,-0.622771
0,1.1,0.284489,1.12141,1.44716,0.586458,1.97409,-1.08388,0.448963,0.192364,-0.598617
0,1.11,0.290376,1.14116,1.43629,0.5909,1.97568,-1.08975,0.439393,0.126129,-0.574203
0,1.12,0.296307,1.16092,1.42536,0.595245,1.97661,-1.09537,0.429698,0.0595884,-0.549536
0,1.13,0.30228,1.18069,1.41438,0.599493,1.97687,-1.10074,0.419881,-0.00723381,-0.524623
0,1.14,0.308296,1.20046,1.40335,0.603643,1.97646,-1.10586,0.409944,-0.0743128,-0.499472
0,1.15,0.314353,1.22022,1.39227,0.607692,1.97539,-1.11073,0.399891,-0.141624,-0.474091
0,1.16,0.32045,1.23996,1.38114,0.61164,1.97363,-1.11534,0.389726,-0.209143,-0.448488
0,1.17,0.326585,1.25969,1.36996,0.615486,1.9712,-1.1197,0.37945,-0.276844,-0.422669
0,1.18,0.332759,1.27938,1.35874,0.619229,1.96809,-1.12379,0.369069,-0.344704,-0.396643
0,1.19,0.33897,1.29905,1.34749,0.622867,1.96431,-1.12763,0.358584,-0.412697,-0.370418
0,1.2,0.345216,1.31867,1.33619,0.6264,1.95984,-1.1312,0.348,-0.4808,-0.344
0,1.21,0.351497,1.33824,1.32486,0.629827,1.95469,-1.13451,0.337319,-0.548987,-0.317398
0,1.22,0.357812,1.35776,1.3135,0.633146,1.94886,-1.13755,0.326544,-0.617234,-0.290619
0,1.23,0.36416,1.37722,1.30211,0.636357,1.94235,-1.14032,0.315679,-0.685516,-0.263671
0,1.24,0.370539,1.3966,1.2907,0.639459,1.93515,-1.14282,0.304728,-0.753809,-0.236561
0,1.25,0.376949,1.41592,1.27926,0.642452,1.92727,-1.14505,0.293692,-0.822087,-0.209298
0,1.26,0.383388,1.43515,1.2678,0.645333,1.91871,-1.14701,0.282576,-0.890327,-0.181888
0,1.27,0.389855,1.45429,1.25632,0.648103,1.90946,-1.14869,0.271383,-0.958504,-0.154339
0,1.28,0.396349,1.47334,1.24482,0.65076,1.89954,-1.15009,0.260115,-1.02659,-0.12666
