trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,dt
0,1.28,0.346236,1.13621,1.27216,0.56848,1.34602,-1.10521,0.227227,-1.24784,-0.108721,0.01
0,1.29,0.351932,1.14961,1.2611,0.570703,1.33325,-1.10616,0.217322,-1.30617,-0.0817,0.01
0,1.3,0.35765,1.16287,1.25004,0.572827,1.3199,-1.10685,0.207358,-1.36431,-0.0545679,0.01
0,1.31,0.363388,1.176,1.23897,0.57485,1.30596,-1.10726,0.197338,-1.42223,-0.0273321,0.01
0,1.32,0.369147,1.18899,1.22789,0.576773,1.29145,-1.10739,0.187264,-1.47991,1.33227E-15,0.01
0,1.33,0.374923,1.20183,1.21682,0.578595,1.27636,-1.10725,0.17714,-1.53734,0.027421,0.01
0,1.34,0.380718,1.21452,1.20575,0.580316,1.26071,-1.10684,0.166967,-1.59448,0.0549235,0.01
0,1.35,0.386529,1.22704,1.19468,0.581934,1.24448,-1.10616,0.15675,-1.65131,0.0825,0.01
0,1.36,0.392356,1.2394,1.18363,0.583451,1.22768,-1.10519,0.14649,-1.70782,0.110143,0.01
0,1.37,0.398198,1.25159,1.17258,0.584864,1.21032,-1.10395,0.136192,-1.76399,0.137846,0.01
0,1.38,0.404053,1.26361,1.16155,0.586174,1.1924,-1.10244,0.125856,-1.81978,0.1656,0.01
0,1.39,0.409921,1.27544,1.15053,0.587381,1.17393,-1.10064,0.115487,-1.87518,0.193399,0.01
0,1.4,0.415801,1.28709,1.13954,0.588484,1.1549,-1.09857,0.105086,-1.93017,0.221235,0.01
0,1.41,0.421691,1.29854,1.12856,0.589483,1.13532,-1.09622,0.094658,-1.98472,0.2491,0.01
0,1.42,0.42759,1.30979,1.11761,0.590377,1.11521,-1.09359,0.0842042,-2.03882,0.276988,0.01
0,1.43,0.433498,1.32084,1.10669,0.591167,1.09455,-1.09068,0.073728,-2.09243,0.30489,0.01
0,1.44,0.439413,1.33168,1.0958,0.591852,1.07336,-1.08749,0.063232,-2.14555,0.3328,0.01
0,1.45,0.445334,1.3423,1.08494,0.592431,1.05164,-1.08402,0.0527191,-2.19814,0.36071,0.01
0,1.46,0.451261,1.35271,1.07412,0.592906,1.0294,-1.08027,0.0421922,-2.25019,0.388612,0.01
0,1.47,0.457192,1.36289,1.06334,0.593275,1.00664,-1.07625,0.031654,-2.30167,0.4165,0.01
0,1.48,0.463126,1.37284,1.0526,0.593539,0.983367,-1.07194,0.0211074,-2.35257,0.444365,0.01
0,1.49,0.469063,1.38256,1.0419,0.593697,0.95959,-1.06736,0.0105551,-2.40285,0.472201,0.01
0,1.5,0.475,1.39203,1.03125,0.59375,0.935313,-1.0625,-1.11022E-15,-2.4525,0.5,0.01
0,1.51,0.480937,1.40126,1.02065,0.593697,0.910542,-1.05736,-0.0105551,-2.5015,0.527754,0.01
0,1.52,0.486874,1.41024,1.0101,0.593539,0.885285,-1.05195,-0.0211074,-2.54982,0.555457,0.01
0,1.53,0.492808,1.41897,0.999612,0.593275,0.859548,-1.04625,-0.031654,-2.59744,0.5831,0.01
0,1.54,0.498739,1.42743,0.98918,0.592906,0.833338,-1.04028,-0.0421922,-2.64435,0.610677,0.01
0,1.55,0.504666,1.43563,0.978808,0.592431,0.806663,-1.03404,-0.0527191,-2.69051,0.638179,0.01
0,1.56,0.510587,1.44356,0.9685,0.591852,0.779531,-1.02752,-0.063232,-2.73591,0.6656,0.01
0,1.57,0.516502,1.45122,0.958258,0.591167,0.751948,-1.02073,-0.073728,-2.78052,0.692932,0.01
0,1.58,0.52241,1.4586,0.948086,0.590377,0.723923,-1.01366,-0.0842042,-2.82433,0.720168,0.01
0,1.59,0.528309,1.4657,0.937986,0.589483,0.695464,-1.00632,-0.094658,-2.86731,0.7473,0.01
0,1.6,0.534199,1.47251,0.92796,0.588484,0.66658,-0.998716,-0.105086,-2.90943,0.774321,0.01
0,1.61,0.540079,1.47903,0.918012,0.587381,0.637278,-0.990838,-0.115487,-2.95069,0.801223,0.01
0,1.62,0.545947,1.48525,0.908145,0.586174,0.607569,-0.982692,-0.125856,-2.99105,0.828,0.01
0,1.63,0.551802,1.49118,0.89836,0.584864,0.577461,-0.974279,-0.136192,-3.03049,0.854643,0.01
0,1.64,0.557644,1.4968,0.88866,0.583451,0.546962,-0.9656,-0.14649,-3.06899,0.881146,0.01
0,1.65,0.563471,1.50211,0.879048,0.581934,0.516084,-0.956656,-0.15675,-3.10654,0.9075,0.01
0,1.66,0.569282,1.50712,0.869528,0.580316,0.484835,-0.94745,-0.166967,-3.1431,0.933699,0.01
0,1.67,0.575077,1.51181,0.8601,0.578595,0.453225,-0.937983,-0.17714,-3.17866,0.959735,0.01
0,1.68,0.580853,1.51618,0.850769,0.576773,0.421265,-0.928256,-0.187264,-3.21319,0.9856,0.01
0,1.69,0.586612,1.52023,0.841536,0.57485,0.388965,-0.918271,-0.197338,-3.24668,1.01129,0.01
0,1.7,0.59235,1.52396,0.832404,0.572827,0.356335,-0.908031,-0.207358,-3.27909,1.03679,0.01
0,1.71,0.598068,1.52736,0.823376,0.570703,0.323387,-0.897536,-0.217322,-3.31041,1.0621,0.01
0,1.72,0.603764,1.53043,0.814454,0.56848,0.290131,-0.88679,-0.227227,-3.34062,1.08721,0.01
0,1.73,0.609437,1.53316,0.805641,0.566159,0.256578,-0.875793,-0.23707,-3.3697,1.11211,0.01
0,1.74,0.615087,1.53556,0.796939,0.563739,0.222741,-0.864548,-0.246848,-3.39762,1.1368,0.01
0,1.75,0.620712,1.53762,0.788351,0.561222,0.18863,-0.853057,-0.256559,-3.42436,1.16127,0.01
0,1.76,0.626311,1.53933,0.779879,0.558608,0.154257,-0.841323,-0.266199,-3.44989,1.1855,0.01
0,1.77,0.631883,1.5407,0.771526,0.555898,0.119636,-0.829348,-0.275766,-3.47421,1.2095,0.01
0,1.78,0.637428,1.54172,0.763293,0.553093,0.0847774,-0.817134,-0.285257,-3.49728,1.23325,0.01
0,1.79,0.642945,1.54239,0.755184,0.550193,0.0496945,-0.804684,-0.294669,-3.51908,1.25676,0.01
0,1.8,0.648432,1.54272,0.7472,0.5472,0.0144,-0.792,-0.304,-3.5396,1.28,0.01
0,1.81,0.653889,1.54268,0.739344,0.544114,-0.0210931,-0.779085,-0.313246,-3.55881,1.30298,0.01
0,1.82,0.659314,1.54229,0.731619,0.540935,-0.0567717,-0.765941,-0.322405,-3.57668,1.32568,0.01
0,1.83,0.664707,1.54155,0.724026,0.537666,-0.0926222,-0.752572,-0.331474,-3.5932,1.3481,0.01
0,1.84,0.670067,1.54044,0.716568,0.534306,-0.128631,-0.73898,-0.34045,-3.60834,1.37023,0.01
0,1.85,0.675393,1.53897,0.709247,0.530857,-0.164784,-0.725169,-0.34933,-3.62209,1.39207,0.01
0,1.86,0.680684,1.53714,0.702066,0.52732,-0.201068,-0.71114,-0.358112,-3.63442,1.4136,0.01
0,1.87,0.685939,1.53495,0.695025,0.523695,-0.237468,-0.696898,-0.366792,-3.6453,1.43482,0.01
0,1.88,0.691157,1.53239,0.688128,0.519984,-0.273969,-0.682445,-0.375369,-3.65472,1.45572,0.01
0,1.89,0.696338,1.52947,0.681377,0.516188,-0.310557,-0.667784,-0.383838,-3.66266,1.4763,0.01
0,1.9,0.701481,1.52618,0.674773,0.512308,-0.347217,-0.65292,-0.392198,-3.66909,1.49654,0.01
0,1.91,0.706584,1.52253,0.668319,0.508345,-0.383934,-0.637855,-0.400444,-3.67399,1.51645,0.01
0,1.92,0.711648,1.5185,0.662017,0.5043,-0.420692,-0.622592,-0.408576,-3.67734,1.536,0.01
0,1.93,0.71667,1.51411,0.655868,0.500174,-0.457476,-0.607136,-0.416589,-3.67911,1.5552,0.01
0,1.94,0.721651,1.50935,0.649875,0.495968,-0.494269,-0.591489,-0.424482,-3.6793,1.57403,0.01
0,1.95,0.726589,1.50423,0.644039,0.491684,-0.531056,-0.575656,-0.43225,-3.67786,1.5925,0.01
0,1.96,0.731484,1.49873,0.638362,0.487324,-0.567821,-0.55964,-0.439892,-3.67479,1.61059,0.01
0,1.97,0.736335,1.49287,0.632847,0.482887,-0.604546,-0.543446,-0.447404,-3.67006,1.62829,0.01
0,1.98,0.741142,1.48664,0.627494,0.478376,-0.641216,-0.527076,-0.454784,-3.66364,1.6456,0.01
0,1.99,0.745903,1.48005,0.622306,0.473792,-0.677814,-0.510535,-0.462029,-3.65552,1.66251,0.01
0,2,0.750617,1.47309,0.617284,0.469136,-0.714321,-0.493827,-0.469136,-3.64568,1.67901,0.01
0,2.01,0.755285,1.46576,0.61243,0.464409,-0.750721,-0.476956,-0.476102,-3.63409,1.6951,0.01
0,2.02,0.759905,1.45807,0.607745,0.459614,-0.786997,-0.459927,-0.482925,-3.62072,1.71077,0.01
0,2.03,0.764477,1.45002,0.603232,0.454751,-0.82313,-0.442742,-0.489601,-3.60557,1.726,0.01
0,2.04,0.769,1.44161,0.598891,0.449823,-0.859102,-0.425408,-0.496128,-3.5886,1.7408,0.01
0,2.05,0.773473,1.43284,0.594724,0.444829,-0.894896,-0.407928,-0.502503,-3.5698,1.75515,0.01
0,2.06,0.777896,1.42371,0.590733,0.439773,-0.930492,-0.390306,-0.508723,-3.54914,1.76906,0.01
0,2.07,0.782269,1.41423,0.586919,0.434655,-0.965872,-0.372548,-0.514786,-3.52661,1.7825,0.01
0,2.08,0.786589,1.4044,0.583282,0.429478,-1.00102,-0.354658,-0.520688,-3.50217,1.79548,0.01
0,2.09,0.790858,1.39421,0.579826,0.424242,-1.03591,-0.33664,-0.526427,-3.47581,1.80798,0.01
0,2.1,0.795074,1.38368,0.57655,0.41895,-1.07053,-0.3185,-0.532,-3.4475,1.82,0.01
0,2.11,0.799237,1.3728,0.573456,0.413603,-1.10485,-0.300242,-0.537404,-3.41723,1.83153,0.01
0,2.12,0.803346,1.36158,0.570546,0.408202,-1.13887,-0.281871,-0.542636,-3.38497,1.84257,0.01
0,2.13,0.807401,1.35003,0.567819,0.402751,-1.17255,-0.263392,-0.547694,-3.3507,1.8531,0.01
0,2.14,0.811401,1.33813,0.565278,0.397249,-1.20587,-0.244811,-0.552574,-3.31439,1.86312,0.01
0,2.15,0.815346,1.32591,0.562923,0.3917,-1.23883,-0.226132,-0.557275,-3.27604,1.87262,0.01
